之,tśi
不,piu; piux; piut
也,yiax
子,tsix
而,ńi
曰,hywat
以,yix
其,gi
人,nyin
於,yo
為,hrywe
公,kung
者,tśyax
有,hywux
君,kyun
無,my
王,hywang
大,dayh; day
則,tsok
乎,hwu
侯,how
是,dźyex
夫,pyu
可,khax
于,?
故,kwoh
使,šix
矣,hix
晉,tsyinh
所,šiox
天,then
與,yiox
何,ha
國,kwok
齊,dzey
吾,ngwu
將,tsyang
師,šryi
知,ťie
月,ngywat
焉,hryen; ‘ryen; ‘yan
楚,tšhiox; h
下,hrax; hrah
我,ngax
臣,dźyin
行,hrang
言,ngyan
三,sam
道,dawx
必,pyit
民,myin
一,yit
死,sryix
見,kenh
十,dźyip
非,pwiy
聞,myun
二,ńyih
命,mriangh
年,nen
乃,noyx
出,tśhywit
氏,dźiex
在,dzoyx; h
今,kryim
亦,yyek
未,mwuy
文,myun
入,ńyip
用,yyungh
來,loy
上,dźyangh
善,dźienx
士,džix
問,mywunh
物,mywut
日,ńyit
五,ngwux
中,ťyung
父,byux
心,syim
亡,mwyang
秋,tshyuw
食,źik
四,syih
小,syewx
明,mryang
孔,khungx
且,tshyax
樂,ngrok
卒,tswot
惡,‘ak
取,tshyux; tshowx
仲,ďywungh
正,tśiengh
百,prak
冬,twong
猶,yyuw; kyuwh; yyuwh
仁,nyin
門,mwon
令,lyeng; h; lengh
平,bryang
方,pywang
世,śyeyh
安,an
九,kyuw
高,kaw
北,pok
八,pret
西,sey
母,mowx
里,lix
耳,ńix
少,śyewx
衣,iy
忠,ťywung
本,pwonx
合,hop
木,muk
久,kywu
千,tshen
性,siengh
爾,nyex
火,xwax
風,pywung
私,syi
玉,ngyuk
州,tśyu
初,tšhio
氣,khyih
目,mywuk
勿,mywut
弱,ńyak
雨,hyux
舟,tśyuw
擊,kek
金,kryim
災,tsoy
全,dzywen
江,krong
口,khowx
狐,hwu
面,myenh
工,kung
回,hwoy
卯,mraux
凶,hyung
夕,zyek
京,kriang
狗,kowx
姦,kran
呼,xuo
鬥,towh
放,pywangh
句,kyoh
甘,kam
毛,maw; h
早,tsawx
井,tsyengx
論,lwon (h)
農,nwong
